Characteristic ,Total with Earnings,"$1 to $2,499 or loss","$2,500 to 4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$53,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999 ","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and over",Median Earnings (Value Dol.),Median Earnings (Standard Error Dol.),Mean Earnings (Value Dol.),Mean Earnings (Standard Error Dol.), Gini Ratio , Gini Ratio Standard Error
....Total,"61,419","2,777","2,056","2,310","1,617","2,549","1,274","2,290","1,447","3,093","1,613","2,889","1,234","3,286",970,"2,790",998,"2,880",685,"2,009",951,"2,805",716,"1,595",588,"2,267",425,"1,186",467,"1,414",254,"1,018",232,"1,027",221,671,186,619,179,300,158,"5,372","36,170",182,"47,714",457,0.478,0.0043
"Management, science, and arts occupations","28,330",720,428,510,377,606,332,572,371,794,423,862,368,"1,131",271,"1,054",417,"1,274",385,"1,089",529,"1,719",472,"1,057",390,"1,612",322,863,328,938,216,661,192,780,167,528,163,477,139,253,113,"4,425","52,402",387,"66,040",866,0.427,0.0062
"....Management, business, and financial operations occupations","10,526",123,104,123,93,157,94,159,95,259,103,218,115,341,82,461,145,417,151,435,158,593,215,376,151,597,150,322,120,358,75,242,66,330,87,219,60,185,49,127,54,"2,317","60,397",384,"77,978","1,731",0.421,0.0101
........Management occupations,"6,608",89,63,87,80,107,55,91,64,167,66,142,87,213,51,271,86,233,62,263,95,380,124,173,97,358,88,207,83,217,43,132,45,196,42,130,33,126,18,94,30,"1,621","61,126",455,"84,324","2,518",0.455,0.0132
"............Chief Executives, General and Operations Managers",759,2,0,17,4,2,0,1,4,8,3,23,4,8,5,28,7,24,2,12,2,42,11,6,12,45,1,13,2,16,7,4,9,25,5,10,0,33,2,6,5,347,"91,054","4,222","148,472","12,739",0.518,0.0261
............Legislators,18,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
............All other Managers,"5,832",87,63,70,76,104,55,86,60,160,62,116,82,205,46,238,78,209,59,251,93,336,113,166,84,309,87,194,81,201,37,128,36,172,37,120,33,93,16,88,26,"1,273","60,132","1,168","76,125","2,360",0.425,0.0151
........Business and financial operations occupations,"3,918",34,42,36,14,50,39,67,30,91,37,76,28,129,31,190,59,184,89,172,63,213,92,203,54,239,62,115,37,141,32,110,21,133,45,89,27,60,31,33,24,696,"57,345","1,683","67,275","1,628",0.343,0.0100
............Business Operations Specialists,"2,421",20,35,35,14,27,17,38,19,81,11,45,18,74,23,101,34,110,55,121,40,115,69,119,31,173,23,65,32,75,27,80,15,75,33,44,21,39,20,12,8,430,"57,281","2,008","65,403","1,604",0.336,0.0093
............Financial Specialists,"1,497",14,7,2,0,23,22,29,11,10,25,31,10,55,8,89,25,74,34,52,23,98,23,85,23,66,39,50,5,66,5,30,6,58,12,45,7,21,11,21,16,266,"57,436","2,356","70,301","2,865",0.353,0.0186
....Professional and related occupations,"17,804",597,323,386,283,449,238,414,277,536,320,644,253,790,189,593,272,857,235,654,371,"1,126",256,681,239,"1,015",172,541,208,579,141,420,126,450,81,309,103,291,90,126,60,"2,108","50,493",244,"58,981",902,0.422,0.0075
........Computer and mathematical occupations,903,19,2,0,3,9,3,0,2,16,6,7,4,7,2,18,8,40,5,37,38,25,8,25,6,54,19,19,10,19,22,28,17,34,20,21,10,31,5,15,0,286,"76,330","2,687","87,239","4,761",0.340,0.0324
"............Computer scientists, analysts, programmers, engineers,
............and administrators",802,13,2,0,3,9,3,0,2,16,6,7,2,7,1,18,3,31,2,37,38,25,8,25,6,49,19,15,2,18,17,24,17,33,19,14,10,31,5,15,0,247,"76,566","2,945","87,711","5,315",0.344,0.0358
............Actuaries,5,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
"............Mathematicians, statisticians, operations research
............and other math occupations",96,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,9,3,0,0,0,1,0,0,5,0,3,8,1,6,3,0,0,0,7,0,0,0,0,0,35,"73,723","8,081","82,120","7,951",0.316,0.0401
........Architecture and engineering occupations,336,0,0,0,17,11,0,11,6,2,5,0,2,18,4,5,4,11,0,1,16,1,6,8,4,13,11,22,5,18,0,12,8,24,0,10,2,12,0,15,0,51,"66,149","2,263","83,781","14,053",0.451,0.0852
"............Architects, except naval",49,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
"............Surveyors, Cartographers, and photogrammetrists",4,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
............Engineers,212,0,0,0,10,6,0,11,2,0,5,0,0,12,0,0,0,4,0,0,0,1,0,3,1,5,7,15,4,17,0,9,8,17,0,10,2,10,0,11,0,42,"75,827","5,410","100,756","21,967",0.472,0.1050
"............Drafters, Engineering technicians, and Surveying
............and mapping technicians",71,(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B),(B)
"........Life, physical, and social science occupations",699,4,0,7,0,24,10,8,35,14,8,18,7,6,3,23,5,16,17,17,12,40,5,38,12,50,6,9,7,11,9,37,9,30,0,19,0,14,6,7,2,156,"61,084","1,199","76,734","4,856",0.403,0.0280
