Characteristic. ,Total.,Less than 9th Grade.,9th to 12th Grade nongrad.,Graduate (including GED).,Some college or degree.,Associate Degree.,Total.,Bachelor's Degree.,Master's Degree.,Profressional Degree.,Doctorate Degree.,,,Characteristic ,Total,Less than 9th Grade ,9th to 12th Grade nongrad,Graduate (including GED),Some college or degree ,Associate Degree,Total,Bachelor's Degree,Master's Degree,Profressional Degree,Doctorate Degree
....Total,"15,045","1,704","1,754","4,388","2,192","1,524","3,483","2,397",863,100,123,,,....Total,"12,166",214,708,"3,542","2,290","1,482","3,929","2,462","1,184",133,151
Without earnings,"4,499",843,745,"1,545",544,284,539,377,132,18,11,,,Without earnings,"3,004",107,361,"1,118",589,265,563,410,138,11,4
With earnings,"10,546",861,"1,009","2,843","1,648","1,240","2,944","2,019",731,82,112,,,With earnings,"9,162",106,347,"2,424","1,701","1,217","3,366","2,051","1,046",122,147
"..$1 to $2,499 or loss",283,38,31,77,52,30,56,47,8,0,0,,,"..$1 to $2,499 or loss",199,14,16,53,68,17,30,29,0,0,0
"..$2,500 to $4,999",281,45,51,78,31,30,46,40,1,2,2,,,"..$2,500 to $4,999",193,4,8,99,49,24,9,3,4,2,0
"..$5,000 to $7,499",286,49,49,96,27,20,45,32,10,0,3,,,"..$5,000 to $7,499",183,3,18,73,39,23,27,13,14,0,0
"..$7,500 to $9,999",274,65,57,87,24,15,26,24,2,0,0,,,"..$7,500 to $9,999",190,0,22,97,35,19,17,14,3,0,0
"..$10,000 to $12,499",498,60,81,157,79,56,65,45,17,2,1,,,"..$10,000 to $12,499",311,8,26,118,58,51,49,40,4,1,4
"..$12,500 to $14,999",257,34,35,84,29,36,39,30,7,2,0,,,"..$12,500 to $14,999",158,0,13,55,32,23,35,22,11,3,0
"..$15,000 to $17,499",520,80,86,149,94,48,63,51,10,2,0,,,"..$15,000 to $17,499",417,0,33,154,94,64,72,56,16,0,0
"..$17,500 to $19,999",363,55,60,125,34,41,47,40,5,0,2,,,"..$17,500 to $19,999",218,5,18,101,31,22,42,29,9,0,4
"..$20,000 to $22,499",845,97,113,319,134,67,115,97,12,2,4,,,"..$20,000 to $22,499",519,5,27,210,123,50,103,69,26,3,5
"..$22,500 to $24,999",447,88,80,100,60,52,67,49,12,4,2,,,"..$22,500 to $24,999",310,7,37,93,73,48,52,45,5,2,0
"..$25,000 to $27,499",727,73,102,231,122,85,113,98,12,1,3,,,"..$25,000 to $27,499",560,12,38,220,106,74,110,80,30,0,0
"..$27,500 to $29,999",269,27,34,87,49,30,42,36,5,0,0,,,"..$27,500 to $29,999",246,16,2,96,44,31,57,47,8,2,0
"..$30,000 to $32,499",735,43,40,250,148,120,134,106,23,4,2,,,"..$30,000 to $32,499",701,9,21,244,109,127,190,168,16,2,3
"..$32,500 to $34,999",225,19,15,97,39,22,34,27,7,0,0,,,"..$32,500 to $34,999",196,3,6,88,36,25,38,31,7,0,0
"..$35,000 to $37,499",603,25,32,201,130,85,131,97,35,0,0,,,"..$35,000 to $37,499",384,2,7,112,93,76,93,64,29,0,0
"..$37,500 to $39,999",211,16,18,57,50,19,51,43,7,1,0,,,"..$37,500 to $39,999",207,0,7,35,60,33,72,56,13,0,3
